code,name,market,big_theme,primary_theme,secondary_theme_1,secondary_theme_2,secondary_theme_3,industry,legacy_theme_count,legacy_theme_all,event_theme_all,classification_source,confidence
123040,엠에스오토텍,KOSDAQ,2차전지·전기차,전기차,자동차부품,지주사,,자동차부품,3,자동차부품 | 전기차 | 지주사,,legacy_theme,높음
170030,현대공업,KOSDAQ,2차전지·전기차,전기차,자동차부품,,,자동차부품,2,자동차부품 | 전기차,,legacy_theme,높음
212560,네오오토,KOSDAQ,2차전지·전기차,전기차,자동차부품,,,자동차부품,2,자동차부품 | 전기차,,legacy_theme,높음
463480,모티브링크,KOSDAQ,2차전지·전기차,전기차,자동차부품,,,자동차부품,2,자동차부품 | 전기차,,legacy_theme,높음
900260,로스웰,KOSDAQ,2차전지·전기차,전기차,국내 상장 중국기업,,,통신장비,2,국내 상장 중국기업 | 전기차,,legacy_theme,높음
032790,엠젠솔루션,KOSDAQ,2차전지·전기차,전기차 화재 방지(배터리 열폭주 등),스마트홈(홈네트워크),,,IT서비스,2,스마트홈(홈네트워크) | 전기차 화재 방지(배터리 열폭주 등),,legacy_theme,높음
060230,제이케이시냅스,KOSDAQ,2차전지·전기차,전기차 화재 방지(배터리 열폭주 등),삼성페이,,,전자장비와기기,2,삼성페이 | 전기차 화재 방지(배터리 열폭주 등),,legacy_theme,높음
105550,엣지파운드리,KOSDAQ,2차전지·전기차,전기차 화재 방지(배터리 열폭주 등),자율주행차,전기차,자동차부품,자동차부품,4,자동차부품 | 자율주행차 | 전기차 | 전기차 화재 방지(배터리 열폭주 등),,legacy_theme,높음
119830,아이텍,KOSDAQ,2차전지·전기차,전기차 화재 방지(배터리 열폭주 등),시스템반도체,콜드체인(저온 유통),그래핀,반도체와반도체장비,4,그래핀 | 시스템반도체 | 전기차 화재 방지(배터리 열폭주 등) | 콜드체인(저온 유통),,legacy_theme,높음
138070,신진에스엠,KOSDAQ,2차전지·전기차,전기차 화재 방지(배터리 열폭주 등),,,,기계,1,전기차 화재 방지(배터리 열폭주 등),,legacy_theme,높음
199820,제일일렉트릭,KOSDAQ,2차전지·전기차,전기차 화재 방지(배터리 열폭주 등),전력설비,스마트홈(홈네트워크),,전기장비,3,스마트홈(홈네트워크) | 전기차 화재 방지(배터리 열폭주 등) | 전력설비,,legacy_theme,높음
225190,LK삼양,KOSDAQ,2차전지·전기차,전기차 화재 방지(배터리 열폭주 등),우주항공산업(누리호/인공위성 등),카메라모듈/부품,,전자장비와기기,3,우주항공산업(누리호/인공위성 등) | 전기차 화재 방지(배터리 열폭주 등) | 카메라모듈/부품,,legacy_theme,높음
243840,신흥에스이씨,KOSDAQ,2차전지·전기차,전기차 화재 방지(배터리 열폭주 등),2차전지(소재/부품),전기차,2차전지,전기제품,4,2차전지 | 2차전지(소재/부품) | 전기차 | 전기차 화재 방지(배터리 열폭주 등),,legacy_theme,높음
317870,엔바이오니아,KOSDAQ,2차전지·전기차,전기차 화재 방지(배터리 열폭주 등),수자원(양적/질적 개선),,,가정용기기와용품,2,수자원(양적/질적 개선) | 전기차 화재 방지(배터리 열폭주 등),,legacy_theme,높음
417010,나노팀,KOSDAQ,2차전지·전기차,전기차 화재 방지(배터리 열폭주 등),2차전지(소재/부품),전기차,2차전지,전자장비와기기,5,2차전지 | 2차전지(소재/부품) | 스페이스X(SpaceX) | 전기차 | 전기차 화재 방지(배터리 열폭주 등),,legacy_theme,높음
419050,삼기에너지솔루션즈,KOSDAQ,2차전지·전기차,전기차 화재 방지(배터리 열폭주 등),2차전지(소재/부품),전기차,2차전지,자동차부품,4,2차전지 | 2차전지(소재/부품) | 전기차 | 전기차 화재 방지(배터리 열폭주 등),,legacy_theme,높음
452200,민테크,KOSDAQ,2차전지·전기차,전기차 화재 방지(배터리 열폭주 등),2차전지(전고체),2차전지(장비),2차전지,전기제품,4,2차전지 | 2차전지(장비) | 2차전지(전고체) | 전기차 화재 방지(배터리 열폭주 등),,legacy_theme,높음
452400,이닉스,KOSDAQ,2차전지·전기차,전기차 화재 방지(배터리 열폭주 등),2차전지(소재/부품),전기차,2차전지,전기제품,4,2차전지 | 2차전지(소재/부품) | 전기차 | 전기차 화재 방지(배터리 열폭주 등),,legacy_theme,높음
006910,보성파워텍,KOSDAQ,2차전지·전기차,전기차(충전소/충전기),전력설비,원자력발전,,전기장비,3,원자력발전 | 전기차(충전소/충전기) | 전력설비,,legacy_theme,높음
